birthday,chamber,title,first_name,middle_name,last_name,name_suffix,nickname,party,state,state_name,term_start,term_end,in_office,phone,twitter_id
1913-11-19,house,Rep,Seymour,,Halpern,,,R,NY,New York,1971-01-21,1973-01-03,false,,
1910-09-14,house,Rep,Durward,Gorham,Hall,,,R,MO,Missouri,1971-01-21,1973-01-03,false,,
1916-05-24,house,Rep,George,Elliott,Hagan,,,D,GA,Georgia,1971-01-21,1973-01-03,false,,
1926-05-09,house,Rep,Charles,Hudson,Griffin,,,D,MS,Mississippi,1971-01-21,1973-01-03,false,,
1903-02-07,house,Rep,Edward,Alexander,Garmatz,,,D,MD,Maryland,1971-01-21,1973-01-03,false,,
1929-12-20,senate,Sen,David,Henry,Gambrell,,,D,GA,Georgia,1971-01-21,1973-01-03,false,,
1921-03-02,house,Rep,Cornelius,Edward,Gallagher,,,D,NJ,New Jersey,1971-01-21,1973-01-03,false,,
1928-07-22,house,Rep,Nick,,Galifianakis,,,D,NC,North Carolina,1971-01-21,1973-01-03,false,,
1903-03-01,house,Rep,James,Grove,Fulton,,,R,PA,Pennsylvania,1971-01-21,1973-01-03,false,,
1906-10-15,senate,Sen,Hiram,Leong,Fong,,,R,HI,Hawaii,1971-01-21,1977-01-03,false,,
1907-01-29,senate,Sen,Paul,Jones,Fannin,,,R,AZ,Arizona,1971-01-21,1977-01-03,false,,
1927-08-07,house,Rep,Edwin,Washington,Edwards,,,D,LA,Louisiana,1971-01-21,1973-01-03,false,,
1919-04-07,house,Rep,Edmond,Augustus,Edmondson,,,D,OK,Oklahoma,1971-01-21,1973-01-03,false,,
1902-07-04,house,Rep,Florence,Price,Dwyer,,,R,NJ,New Jersey,1971-01-21,1973-01-03,false,,
1912-02-11,house,Rep,John,Vernard,Dowdy,,,D,TX,Texas,1971-01-21,1973-01-03,false,,
1905-05-06,house,Rep,John,Goodchild,Dow,,,D,NY,New York,1971-01-21,1973-01-03,false,,
1907-04-20,house,Com,Jorge,Luis,Córdova Díaz,,,New Progressive,PR,Puerto Rico,1971-01-21,1973-01-03,false,,
1933-11-30,house,Rep,William,Prather,Curlin,Jr.,,D,KY,Kentucky,1971-01-21,1973-01-03,false,,
1905-08-25,house,Rep,Robert,James,Corbett,,,R,PA,Pennsylvania,1971-01-21,1973-01-03,false,,
1928-08-27,house,Rep,William,Sheldrick,Conover,II,,R,PA,Pennsylvania,1971-01-21,1973-01-03,false,,
1890-02-11,house,Rep,William,Meyers,Colmer,,,D,MS,Mississippi,1971-01-21,1973-01-03,false,,
1888-05-06,house,Rep,Emanuel,,Celler,,,D,NY,New York,1971-01-21,1973-01-03,false,,
1915-12-30,house,Rep,Cliffard,Dale,Carlson,,,R,IL,Illinois,1971-01-21,1973-01-03,false,,
1932-07-06,house,Rep,Patrick,Thomson,Caffery,,,D,LA,Louisiana,1971-01-21,1973-01-03,false,,
1906-10-27,house,Rep,Earle,,Cabell,,,D,TX,Texas,1971-01-21,1973-01-03,false,,
1913-06-12,house,Rep,John,William,Byrnes,,,R,WI,Wisconsin,1971-01-21,1973-01-03,false,,
1906-06-22,house,Rep,James,Aloysius,Byrne,,,D,PA,Pennsylvania,1971-01-21,1973-01-03,false,,
1923-03-09,senate,Sen,James,Lane,Buckley,,,Conservative,NY,New York,1971-01-21,1977-01-03,false,,
1930-11-23,senate,Sen,William,Emerson,Brock,III,,R,TN,Tennessee,1971-01-21,1977-01-03,false,,
1901-02-20,house,Rep,Frank,Townsend,Bow,,,R,OH,Ohio,1971-01-21,1973-01-03,false,,
1914-02-15,house,Rep,Thomas,Hale,Boggs,Sr.,,D,LA,Louisiana,1971-01-21,1972-10-16,false,,
1930-04-10,house,Rep,Leonard,Ray,Blanton,,,D,TN,Tennessee,1971-01-21,1973-01-03,false,,
1904-05-26,house,Rep,Jackson,Edward,Betts,,,R,OH,Ohio,1971-01-21,1973-01-03,false,,
1899-04-21,house,Rep,Page,Henry,Belcher,,,R,OK,Oklahoma,1971-01-21,1973-01-03,false,,
1932-04-06,house,Rep,Nicholas,Joseph,Begich,,,D,AK,Alaska,1971-01-21,1973-01-03,false,,
1927-06-19,senate,Sen,John,Glenn,Beall,Jr.,,R,MD,Maryland,1971-01-21,1977-01-03,false,,
1911-09-09,house,Rep,Walter,Stephan,Baring,Jr.,,D,NV,Nevada,1971-01-21,1973-01-03,false,,
1896-04-03,house,Rep,Wayne,Norviel,Aspinall,,,D,CO,Colorado,1971-01-21,1973-01-03,false,,
1906-12-12,house,Rep,George,William,Andrews,,,D,AL,Alabama,1971-01-21,1973-01-03,false,,
1911-02-12,house,Rep,Elizabeth,Bullock,Andrews,,,D,AL,Alabama,1971-01-21,1973-01-03,false,,
1921-06-17,house,Rep,William,Robert,Anderson,,,D,TN,Tennessee,1971-01-21,1973-01-03,false,,
1903-05-16,house,Rep,Thomas,Gerstle,Abernethy,,,D,MS,Mississippi,1971-01-21,1973-01-03,false,,
1908-05-21,house,Rep,Watkins,Moorman,Abbitt,,,D,VA,Virginia,1971-01-21,1973-01-03,false,,
1913-01-09,senate,Sen,Richard,Milhous,Nixon,,,R,CA,California,1950-01-01,1953-12-31,false,,
1916-08-31,house,Rep,John,Schiller,Wold,,,R,WY,Wyoming,1969-01-03,1971-01-03,false,,
1922-08-30,house,Rep,Albert,William,Watson,,,R,SC,South Carolina,1969-01-03,1971-01-03,false,,
1902-05-21,house,Rep,George,Robert,Watkins,,,R,PA,Pennsylvania,1969-01-03,1971-01-03,false,,
1899-03-11,house,Rep,James,Boyd,Utt,,,R,CA,California,1969-01-03,1971-01-03,false,,
1914-10-09,house,Rep,William,Leon,St. Onge,,,D,CT,Connecticut,1969-01-03,1971-01-03,false,,
1915-10-06,senate,Sen,Ralph,Tyler,Smith,,,R,IL,Illinois,1969-01-03,1971-01-03,false,,
1913-10-12,house,Rep,Henry,Carl,Schadeberg,,,R,WI,Wisconsin,1969-01-03,1971-01-03,false,,
1916-06-24,senate,Sen,William,Bart,Saxbe,,,R,OH,Ohio,1969-01-03,1974-01-03,false,,
1932-07-09,house,Rep,Donald,Henry,Rumsfeld,,,R,IL,Illinois,1969-01-03,1971-01-03,false,,
1918-01-18,house,Rep,Richard,Lowell,Roudebush,,,R,IN,Indiana,1969-01-03,1971-01-03,false,,
1914-07-13,house,Rep,Daniel,John,Ronan,,,D,IL,Illinois,1969-01-03,1971-01-03,false,,
1900-08-01,house,Rep,Byron,Giles,Rogers,,,D,CO,Colorado,1969-01-03,1971-01-03,false,,
1905-09-28,house,Rep,Lucius,Mendel,Rivers,,,D,SC,South Carolina,1969-01-03,1971-01-03,false,,
1924-01-07,house,Rep,Edwin,,Reinecke,,,R,CA,California,1969-01-03,1971-01-03,false,,
1906-09-19,house,Rep,Benjamin,,Reifel,,,R,SD,South Dakota,1969-01-03,1971-01-03,false,,
1908-11-29,house,Rep,Adam,Clayton,Powell,Jr.,,D,NY,New York,1969-01-03,1971-01-03,false,,
1920-04-11,house,Rep,Howard,Wallace,Pollock,,,R,AK,Alaska,1969-01-03,1971-01-03,false,,
1898-05-29,house,Rep,Philip,Joseph,Philbin,,,D,MA,Massachusetts,1969-01-03,1971-01-03,false,,
1916-12-17,house,Rep,Arnold,,Olsen,,,D,MT,Montana,1969-01-03,1971-01-03,false,,
1907-07-19,house,Rep,Maston,Emmett,O'Neal,Jr.,,D,GA,Georgia,1969-01-03,1971-01-03,false,,
1899-08-07,house,Rep,William,Thomas,Murphy,,,D,IL,Illinois,1969-01-03,1971-01-03,false,,
1917-12-25,house,Rep,Chester,Louis,Mize,,,R,KS,Kansas,1969-01-03,1971-01-03,false,,
1928-01-30,house,Rep,Thomas,Joseph,Meskill,,,R,CT,Connecticut,1969-01-03,1971-01-03,false,,
1914-12-31,house,Rep,Martin,Boswell,McKneally,,,R,NY,New York,1969-01-03,1971-01-03,false,,
1891-12-21,house,Rep,John,William,McCormack,,,D,MA,Massachusetts,1969-01-03,1971-01-03,false,,
1927-09-24,house,Rep,Richard,Dean,McCarthy,,,D,NY,New York,1969-01-03,1971-01-03,false,,
1914-05-18,house,Rep,Catherine,Dean,May,,,R,WA,Washington,1969-01-03,1971-01-03,false,,
1926-08-07,house,Rep,John,Otho,Marsh,Jr.,,D,VA,Virginia,1969-01-03,1971-01-03,false,,
1922-07-12,house,Rep,Clark,,MacGregor,,,R,MN,Minnesota,1969-01-03,1971-01-03,false,,
1929-01-16,house,Rep,Allard,Kenneth,Lowenstein,,,D,NY,New York,1969-01-03,1971-01-03,false,,
1915-08-19,house,Rep,Glenard,Paul,Lipscomb,,,R,CA,California,1969-01-03,1971-01-03,false,,
1913-01-05,house,Rep,Odin,Elsford Stanley,Langen,,,R,MN,Minnesota,1969-01-03,1971-01-03,false,,
1922-09-01,house,Rep,Melvin,Robert,Laird,,,R,WI,Wisconsin,1969-01-03,1971-01-03,false,,
1919-07-01,house,Rep,Thomas,Savig,Kleppe,,,R,ND,North Dakota,1969-01-03,1971-01-03,false,,
1886-12-02,house,Rep,Michael,Joseph,Kirwan,,,D,OH,Ohio,1969-01-03,1971-01-03,false,,
1916-01-27,house,Rep,Charles,Samuel,Joelson,,,D,NJ,New Jersey,1969-01-03,1971-01-03,false,,
1922-02-10,senate,Sen,Harold,Everett,Hughes,,,D,IA,Iowa,1969-01-03,1975-01-03,false,,
1914-01-12,senate,Sen,Edward,John,Gurney,,,R,FL,Florida,1969-01-03,1975-01-03,false,,
1920-06-17,house,Rep,Jacob,H.,Gilbert,,,D,NY,New York,1969-01-03,1971-01-03,false,,
1905-04-09,senate,Sen,James,William,Fulbright,,,D,AR,Arkansas,1969-01-03,1975-01-03,false,,
1898-04-18,house,Rep,Samuel,Nathaniel,Friedel,,,D,MD,Maryland,1969-01-03,1971-01-03,false,,
1933-12-22,house,Rep,Edgar,Franklin,Foreman,,,R,NM,New Mexico,1969-01-03,1971-01-03,false,,
1905-02-16,house,Rep,Michael,Aloysius,Feighan,,,D,OH,Ohio,1969-01-03,1971-01-03,false,,
1902-10-12,house,Rep,Leonard,,Farbstein,,,D,NY,New York,1969-01-03,1971-01-03,false,,
1902-07-24,house,Rep,George,Hyde,Fallon,,,D,MD,Maryland,1969-01-03,1971-01-03,false,,
1915-02-24,house,Rep,Robert,Ashton,Everett,,,D,TN,Tennessee,1969-01-03,1971-01-03,false,,
1896-09-27,senate,Sen,Samuel,James,Ervin,Jr.,,D,NC,North Carolina,1969-01-03,1975-01-03,false,,
1915-07-07,senate,Sen,Peter,Hoyt,Dominick,,,R,CO,Colorado,1969-01-03,1975-01-03,false,,
1916-04-11,house,Rep,Robert,Vernon,Denney,,,R,NE,Nebraska,1969-01-03,1971-01-03,false,,
1886-04-26,house,Rep,William,Levi,Dawson,,,D,IL,Illinois,1969-01-03,1971-01-03,false,,
1918-09-24,house,Rep,Emilio,Quincy,Daddario,,,D,CT,Connecticut,1969-01-03,1971-01-03,false,,
1912-09-10,house,Rep,Glenn,Clarence,Cunningham,,,R,NE,Nebraska,1969-01-03,1971-01-03,false,,
1922-08-04,house,Rep,William,Cato,Cramer,,,R,FL,Florida,1969-01-03,1971-01-03,false,,
1922-01-01,house,Rep,William,Owen,Cowger,,,R,KY,Kentucky,1969-01-03,1971-01-03,false,,
1914-06-24,house,Rep,Jeffery,,Cohelan,,,D,CA,California,1969-01-03,1971-01-03,false,,
1912-06-25,house,Rep,William,Thomas,Cahill,,,R,NJ,New Jersey,1969-01-03,1971-01-03,false,,
1917-11-01,house,Rep,Daniel,Evan,Button,,,R,NY,New York,1969-01-03,1971-01-03,false,,
1926-10-30,house,Rep,Laurence,Junior,Burton,,,R,UT,Utah,1969-01-03,1971-01-03,false,,
1909-11-20,senate,Sen,Alan,Harvey,Bible,,,D,NV,Nevada,1969-01-03,1974-12-17,false,,
1902-10-06,house,Rep,Ellis,Yarnal,Berry,,,R,SD,South Dakota,1969-01-03,1971-01-03,false,,
1898-11-13,senate,Sen,Wallace,Foster,Bennett,,,R,UT,Utah,1969-01-03,1974-12-20,false,,
1925-02-13,house,Rep,James,Franklin,Battin,,,R,MT,Montana,1969-01-03,1971-01-03,false,,
1917-04-26,house,Rep,William,Henry,Bates,,,R,MA,Massachusetts,1969-01-03,1971-01-03,false,,
1916-02-05,house,Rep,William,Hanes,Ayres,,,R,OH,Ohio,1969-01-03,1971-01-03,false,,
1892-08-20,senate,Sen,George,David,Aiken,,,R,VT,Vermont,1969-01-03,1975-01-03,false,,
1907-12-14,house,Rep,Edwin,Ross,Adair,,,R,IN,Indiana,1969-01-03,1971-01-03,false,,
1926-03-16,senate,Sen,Charles,Ellsworth,Goodell,,,R,NY,New York,1968-01-01,1971-01-03,false,,
1926-07-27,senate,Sen,Marlow,Webster,Cook,,,R,KY,Kentucky,1968-12-17,1974-12-27,false,,
1893-04-11,house,Rep,Jesse,Arthur,Younger,,,R,CA,California,1967-01-10,1969-01-03,false,,
1904-10-02,house,Rep,Edwin,Edward,Willis,,,D,LA,Louisiana,1967-01-10,1969-01-03,false,,
1918-12-04,house,Rep,John,Bell,Williams,,,D,MS,Mississippi,1967-01-10,1969-01-03,false,,
1915-05-14,house,Rep,Basil,Lee,Whitener,,,D,NC,North Carolina,1967-01-10,1969-01-03,false,,
1911-06-18,house,Rep,E.,S. Johnny,Walker,,,D,NM,New Mexico,1967-01-10,1969-01-03,false,,
1896-09-28,house,Rep,William,Munford,Tuck,,,D,VA,Virginia,1967-01-10,1969-01-03,false,,
1905-11-01,house,Rep,Herbert,,Tenzer,,,D,NY,New York,1967-01-10,1969-01-03,false,,
1897-12-14,senate,Sen,Margaret,Chase,Smith,,,R,ME,Maine,1967-01-10,1973-01-03,false,,
1926-07-23,house,Rep,James,Vernon,Smith,,,R,OK,Oklahoma,1967-01-10,1969-01-03,false,,
1921-02-20,house,Rep,Armistead,Inge,Selden,Jr.,,D,AL,Alabama,1967-01-10,1969-01-03,false,,
1897-11-02,senate,Sen,Richard,Brevard,Russell,Jr.,,D,GA,Georgia,1967-01-10,1971-01-21,false,,
1898-02-24,house,Rep,George,Milton,Rhodes,,,D,PA,Pennsylvania,1967-01-10,1969-01-03,false,,
1924-07-13,house,Rep,Joseph,Yale,Resnick,,,D,NY,New York,1967-01-10,1969-01-03,false,,
1911-02-18,house,Rep,Joe,Richard,Pool,,,D,TX,Texas,1967-01-10,1969-01-03,false,,
1920-10-30,house,Com,Santiago,,Polanco-Abreu,,,Popular Democrat,PR,Puerto Rico,1967-01-10,1969-01-03,false,,
1882-04-28,house,Rep,Barratt,,O'Hara,,,D,IL,Illinois,1967-01-10,1969-01-03,false,,
1900-06-03,senate,Sen,Karl,Earl,Mundt,,,R,SD,South Dakota,1967-01-10,1973-01-03,false,,
1900-12-24,house,Rep,Abraham,Jacob,Multer,,,D,NY,New York,1967-01-10,1969-01-03,false,,
1919-08-20,house,Rep,Thomas,Gayle,Morris,,,D,NM,New Mexico,1967-01-10,1969-01-03,false,,
1923-04-16,house,Rep,Arch,Alfred,Moore,Jr.,,R,WV,West Virginia,1967-01-10,1969-01-03,false,,
1916-06-06,senate,Sen,Jack,Richard,Miller,,,R,IA,Iowa,1967-01-10,1973-01-03,false,,
1916-10-14,house,Rep,Hervey,Gilbert,Machen,,,D,MD,Maryland,1967-01-10,1969-01-03,false,,
1920-05-12,house,Rep,Theodore,Roosevelt,Kupferman,,,R,NY,New York,1967-01-10,1969-01-03,false,,
1924-03-12,house,Rep,Horace,Robinson,Kornegay,,,D,NC,North Carolina,1967-01-10,1969-01-03,false,,
1898-01-13,house,Rep,Cecil,Rhodes,King,,,D,CA,California,1967-01-10,1969-01-03,false,,
1906-08-20,house,Rep,Edna,Flannery,Kelly,,,D,NY,New York,1967-01-10,1969-01-03,false,,
1913-01-07,house,Rep,Frank,Melvin,Karsten,,,D,MO,Missouri,1967-01-10,1969-01-03,false,,
1899-05-15,senate,Sen,Leonard,Beck,Jordan,,,R,ID,Idaho,1967-01-10,1973-01-03,false,,
1896-09-08,senate,Sen,Benjamin,Everett,Jordan,,,D,NC,North Carolina,1967-01-10,1973-01-03,false,,
1926-09-07,house,Rep,Donald,Jay,Irwin,,,D,CT,Connecticut,1967-01-10,1969-01-03,false,,
1894-01-08,house,Rep,Elmer,Joseph,Holland,,,D,PA,Pennsylvania,1967-01-10,1969-01-03,false,,
1909-02-14,house,Rep,Albert,Sydney,Herlong,Jr.,,D,FL,Florida,1967-01-10,1969-01-03,false,,
1896-08-10,house,Rep,William,Henry,Harrison,,,R,WY,Wyoming,1967-01-10,1969-01-03,false,,
1930-11-13,senate,Sen,Fred,Roy,Harris,,,D,OK,Oklahoma,1967-01-10,1973-01-03,false,,
1903-06-01,house,Rep,Porter,,Hardy,Jr.,,D,VA,Virginia,1967-01-10,1969-01-03,false,,
1900-08-22,house,Rep,Charles,Abraham,Halleck,,,R,IN,Indiana,1967-01-10,1969-01-03,false,,
1903-11-10,house,Rep,Ezekiel,Candler,Gathings,,,D,AR,Arkansas,1967-01-10,1969-01-03,false,,
1933-04-08,house,Rep,James,Carson,Gardner,,,R,NC,North Carolina,1967-01-10,1969-01-03,false,,
1913-03-23,house,Rep,John,Edward,Fogarty,,,D,RI,Rhode Island,1967-01-10,1969-01-03,false,,
1913-12-15,house,Rep,Paul,Albert,Fino,,,R,NY,New York,1967-01-10,1969-01-03,false,,
1890-09-24,senate,Sen,Allen,Joseph,Ellender,,,D,LA,Louisiana,1967-01-10,1972-07-27,false,,
1911-05-14,house,Rep,Thomas,Bradford,Curtis,,,R,MO,Missouri,1967-01-10,1969-01-03,false,,
1901-08-23,senate,Sen,John,Sherman,Cooper,,,R,KY,Kentucky,1967-01-10,1973-01-03,false,,
1885-03-29,house,Rep,Frances,Payne,Bolton,,,R,OH,Ohio,1967-01-10,1969-01-03,false,,
1909-05-15,senate,Sen,James,Caleb,Boggs,,,R,DE,Delaware,1967-01-10,1973-01-03,false,,
1904-04-20,senate,Sen,Edward,Lewis,Bartlett,,Bob,D,AK,Alaska,1967-01-10,1968-12-11,false,,
1904-02-22,house,Rep,Robert,Thomas,Ashmore,,,D,SC,South Carolina,1967-01-10,1969-01-03,false,,
1895-10-23,senate,Sen,Clinton,Presba,Anderson,,,D,NM,New Mexico,1967-01-10,1973-01-03,false,,
1907-01-02,senate,Sen,Gordon,Llewellyn,Allott,,,R,CO,Colorado,1967-01-10,1973-01-03,false,,
1920-09-29,senate,Sen,William,Belser,Spong,Jr.,,D,VA,Virginia,1967-01-10,1973-01-03,false,,
1889-05-04,senate,Sen,Stephen,Marvin,Young,,,D,OH,Ohio,1965-01-04,1971-01-03,false,,
1903-06-08,senate,Sen,Ralph,Webster,Yarborough,,,D,TX,Texas,1965-01-04,1971-01-03,false,,
1904-05-17,senate,Sen,John,James,Williams,,,R,DE,Delaware,1965-01-04,1971-01-03,false,,
1920-12-19,house,Rep,Compton,Ignatius,White,Jr.,,D,ID,Idaho,1965-01-04,1967-01-03,false,,
1927-12-17,house,Rep,Charles,Longstreet,Weltner,,,D,GA,Georgia,1965-01-04,1967-01-03,false,,
1917-08-23,house,Rep,Prentiss,Lafayette,Walker,,,R,MS,Mississippi,1965-01-04,1967-01-03,false,,
1924-10-25,house,Rep,Weston,Edward,Vivian,,,D,MI,Michigan,1965-01-04,1967-01-03,false,,
1928-05-04,senate,Sen,Joseph,Davies,Tydings,,,D,MD,Maryland,1965-01-04,1971-01-03,false,,
1911-07-23,house,Rep,James,Russell,Tuten,,,D,GA,Georgia,1965-01-04,1967-01-03,false,,
1921-01-25,house,Rep,Stanley,Roger,Tupper,,,R,ME,Maine,1965-01-04,1967-01-03,false,,
1894-02-03,house,Rep,James,William,Trimble,,,D,AR,Arkansas,1965-01-04,1967-01-03,false,,
1907-03-15,house,Rep,Herman,,Toll,,,D,PA,Pennsylvania,1965-01-04,1967-01-03,false,,
1921-09-22,house,Rep,Paul,Harold,Todd,Jr.,,D,MI,Michigan,1965-01-04,1967-01-03,false,,
1916-03-31,house,Rep,Theo,Ashton,Thompson,,,D,LA,Louisiana,1965-01-04,1967-01-03,false,,
1896-08-06,house,Rep,Clark,Wallace,Thompson,,,D,TX,Texas,1965-01-04,1967-01-03,false,,
1900-08-03,house,Rep,Lera,Millard,Thomas,,,D,TX,Texas,1965-01-04,1967-01-03,false,,
1898-04-12,house,Rep,Albert,,Thomas,,,D,TX,Texas,1965-01-04,1967-01-03,false,,
1924-11-04,house,Rep,Robert,E.,Sweeney,,,D,OH,Ohio,1965-01-04,1967-01-03,false,,
1920-05-15,house,Rep,Lynn,Ellsworth,Stalbaum,,,D,WI,Wisconsin,1965-01-04,1967-01-03,false,,
1883-02-02,house,Rep,Howard,Worth,Smith,,,D,VA,Virginia,1965-01-04,1967-01-03,false,,
1921-06-15,house,Rep,Carlton,Ralph,Sickles,,,D,MD,Maryland,1965-01-04,1967-01-03,false,,
1921-11-24,house,Rep,George,Frederick,Senner,Jr.,,D,AZ,Arizona,1965-01-04,1967-01-03,false,,
1904-01-22,house,Rep,Robert,Thompson,Secrest,,,D,OH,Ohio,1965-01-04,1967-01-03,false,,
1905-10-15,house,Rep,Ralph,James,Scott,,,D,NC,North Carolina,1965-01-04,1967-01-03,false,,
1922-01-03,house,Rep,John,Richard,Schmidhauser,,,D,IA,Iowa,1965-01-04,1967-01-03,false,,
1933-03-02,house,Rep,Darwin,Gale,Schisler,,,D,IL,Illinois,1965-01-04,1967-01-03,false,,
1906-02-22,senate,Sen,Donald,Stuart,Russell,,,D,SC,South Carolina,1965-01-04,1967-01-03,false,,
1907-12-23,house,Rep,James,,Roosevelt,,,D,CA,California,1965-01-04,1967-01-03,false,,
1908-07-19,house,Rep,Walter,Edward,Rogers,,,D,TX,Texas,1965-01-04,1967-01-03,false,,
1903-05-23,house,Rep,Ralph,Julian,Rivers,,,D,AK,Alaska,1965-01-04,1967-01-03,false,,
1920-02-29,house,Rep,Rolland,W.,Redlin,,,D,ND,North Dakota,1965-01-04,1967-01-03,false,,
1914-05-12,house,Rep,John,Abner,Race,,,D,WI,Wisconsin,1965-01-04,1967-01-03,false,,
1906-09-01,senate,Sen,Winston,Lewis,Prouty,,,R,VT,Vermont,1965-01-04,1971-01-03,false,,
1930-09-11,house,Rep,Alec,Gehard,Olson,,,D,MN,Minnesota,1965-01-04,1967-01-03,false,,
1900-09-21,house,Rep,Leo,William,O'Brien,,,D,NY,New York,1965-01-04,1967-01-03,false,,
1894-08-01,house,Rep,Thomas,Jefferson,Murray,,,D,TN,Tennessee,1965-01-04,1967-01-03,false,,
1902-07-04,senate,Sen,George,Lloyd,Murphy,,,R,CA,California,1965-01-04,1971-01-03,false,,
1908-12-08,house,Rep,James,Hobson,Morrison,,,D,LA,Louisiana,1965-01-04,1967-01-03,false,,
1910-03-15,house,Rep,Walter,Henry,Moeller,,,D,OH,Ohio,1965-01-04,1967-01-03,false,,
1924-02-20,house,Rep,Roy,Harrison,McVicker,,,D,CO,Colorado,1965-01-04,1967-01-03,false,,
1927-04-22,house,Rep,Thomas,Charles,McGrath,Jr.,,D,NJ,New Jersey,1965-01-04,1967-01-03,false,,
1906-02-10,house,Rep,Harris,Brown,McDowell,Jr.,,D,DE,Delaware,1965-01-04,1967-01-03,false,,
1916-03-29,senate,Sen,Eugene,Joseph,McCarthy,,,D,MN,Minnesota,1965-01-04,1971-01-03,false,,
1907-10-03,house,Rep,Donald,Ray,Matthews,,Billy,D,FL,Florida,1965-01-04,1967-01-03,false,,
1884-11-03,house,Rep,Joseph,William,Martin,Jr.,,R,MA,Massachusetts,1965-01-04,1967-01-03,false,,
1918-09-01,house,Rep,James,Douglas,Martin,,,R,AL,Alabama,1965-01-04,1967-01-03,false,,
1920-06-01,house,Rep,John,C.,Mackie,,,D,MI,Michigan,1965-01-04,1967-01-03,false,,
1919-06-25,house,Rep,James,Armstrong,MacKay,,,D,GA,Georgia,1965-01-04,1967-01-03,false,,
1908-07-18,house,Rep,Rodney,Marvin,Love,,,D,OH,Ohio,1965-01-04,1967-01-03,false,,
1921-11-24,house,Rep,John,Vliet,Lindsay,,,R,NY,New York,1965-01-04,1967-01-03,false,,
1898-07-21,house,Rep,John,Crain,Kunkel,,,R,PA,Pennsylvania,1965-01-04,1967-01-03,false,,
1912-05-26,house,Rep,Paul,Joseph,Krebs,,,D,NJ,New Jersey,1965-01-04,1967-01-03,false,,
1917-06-20,house,Rep,David,Sjodahl,King,,,D,UT,Utah,1965-01-04,1967-01-03,false,,
1907-08-30,house,Rep,Eugene,James,Keogh,,,D,NY,New York,1965-01-04,1967-01-03,false,,
1925-11-20,senate,Sen,Robert,Francis,Kennedy,,,D,NY,New York,1965-01-04,1969-01-03,false,,
1901-03-12,house,Rep,Paul,Caruthers,Jones,,,D,MO,Missouri,1965-01-04,1967-01-03,false,,
1939-12-27,house,Rep,Jed,Joseph,Johnson,Jr.,,D,OK,Oklahoma,1965-01-04,1967-01-03,false,,
1919-08-20,house,Rep,William,Pat,Jennings,,,D,VA,Virginia,1965-01-04,1967-01-03,false,,
1917-08-11,house,Rep,Joseph,Oliva,Huot,,,D,NH,New Hampshire,1965-01-04,1967-01-03,false,,
1892-07-10,senate,Sen,Spessard,Lindsey,Holland,,,D,FL,Florida,1965-01-04,1971-01-03,false,,
1901-08-09,house,Rep,Ralph,,Harvey,,,R,IN,Indiana,1965-01-04,1967-01-03,false,,
1903-12-20,house,Rep,Oren,,Harris,,,D,AR,Arkansas,1965-01-04,1967-01-03,false,,
1901-08-24,house,Rep,John,Robert,Hansen,,,D,IA,Iowa,1965-01-04,1967-01-03,false,,
1914-10-08,house,Rep,Harlan,Francis,Hagen,,,D,CA,California,1965-01-04,1967-01-03,false,,
1912-10-01,house,Rep,George,William,Grider,,,D,TN,Tennessee,1965-01-04,1967-01-03,false,,
1931-05-07,house,Rep,Stanley,Lloyd,Greigg,,,D,IA,Iowa,1965-01-04,1967-01-03,false,,
1923-06-11,house,Rep,Bernard,Francis,Grabowski,,,D,CT,Connecticut,1965-01-04,1967-01-03,false,,
1907-12-26,senate,Sen,Albert,Arnold,Gore,,,D,TN,Tennessee,1965-01-04,1971-01-03,false,,
1921-03-22,house,Rep,John,Joyce,Gilligan,,,D,OH,Ohio,1965-01-04,1967-01-03,false,,
1916-04-11,house,Rep,Billie,Sunday,Farnum,,,D,MI,Michigan,1965-01-04,1967-01-03,false,,
1907-03-28,house,Rep,Charles,Rowland Peaslee,Farnsley,,,D,KY,Kentucky,1965-01-04,1967-01-03,false,,
1926-06-11,house,Rep,Robert,Fred,Ellsworth,,,R,KS,Kansas,1965-01-04,1967-01-03,false,,
1910-07-09,house,Rep,Kenneth,Warren,Dyal,,,D,CA,California,1965-01-04,1967-01-03,false,,
1907-05-15,senate,Sen,Thomas,Joseph,Dodd,,,D,CT,Connecticut,1965-01-04,1971-01-03,false,,
1896-10-28,house,Rep,Winfield,Kirkpatrick,Denton,,,D,IN,Indiana,1965-01-04,1967-01-03,false,,
1898-05-19,house,Rep,Paul,Bartram,Dague,,,R,PA,Pennsylvania,1965-01-04,1967-01-03,false,,
1905-11-28,house,Rep,Willard,Sevier,Curtin,,,R,PA,Pennsylvania,1965-01-04,1967-01-03,false,,
1927-11-17,house,Rep,Nathaniel,Neiman,Craley,Jr.,,D,PA,Pennsylvania,1965-01-04,1967-01-03,false,,
1897-07-26,house,Rep,Harold,Dunbar,Cooley,,,D,NC,North Carolina,1965-01-04,1967-01-03,false,,
1926-06-06,house,Rep,Raymond,Francis,Clevenger,,,D,MI,Michigan,1965-01-04,1967-01-03,false,,
1907-09-22,house,Rep,Frank,Leslie,Chelf,,,D,KY,Kentucky,1965-01-04,1967-01-03,false,,
1927-08-16,house,Rep,Ronald,Brooks,Cameron,,,D,CA,California,1965-01-04,1967-01-03,false,,
